тип;название;Модель;Топливо;Давление, атм;Паропроизводительность, кг/ч;КПД;мощность, кВт;Производство пара, кг/ч
Генерация тепла;Термомасляный котел;КПО-ТМ-100;газ;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-200;газ;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-300;газ;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-500;газ;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-1000;газ;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-1500;газ;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-2000;газ;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-3000;газ;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-4000;газ;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-5000;газ;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-6000;газ;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-100;дизель;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-200;дизель;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-300;дизель;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-500;дизель;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-1000;дизель;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-1500;дизель;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-2000;дизель;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-3000;дизель;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-4000;дизель;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-5000;дизель;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-6000;дизель;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-100;твердое топливо;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-200;твердое топливо;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-300;твердое топливо;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-500;твердое топливо;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-1000;твердое топливо;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-1500;твердое топливо;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-2000;твердое топливо;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-3000;твердое топливо;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-4000;твердое топливо;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-5000;твердое топливо;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-6000;твердое топливо;;;;;
Генерация тепла;Водогрейный котел;КПО-КВ-200;газ;;;;;
Генерация тепла;Водогрейный котел;КПО-КВ-300;газ;;;;;
Генерация тепла;Водогрейный котел;КПО-КВ-400;газ;;;;;
Генерация тепла;Водогрейный котел;КПО-КВ-500;газ;;;;;
Генерация тепла;Водогрейный котел;КПО-КВ-1000;газ;;;;;
Генерация тепла;Водогрейный котел;КПО-КВ-1500;газ;;;;;
Генерация тепла;Водогрейный котел;КПО-КВ-2000;газ;;;;;
Генерация тепла;Водогрейный котел;КПО-КВ-200;дизель;;;;;
Генерация тепла;Водогрейный котел;КПО-КВ-300;дизель;;;;;
Генерация тепла;Водогрейный котел;КПО-КВ-400;дизель;;;;;
Генерация тепла;Водогрейный котел;КПО-КВ-500;дизель;;;;;
Генерация тепла;Водогрейный котел;КПО-КВ-1000;дизель;;;;;
Генерация тепла;Водогрейный котел;КПО-КВ-1500;дизель;;;;;
Генерация тепла;Водогрейный котел;КПО-КВ-2000;дизель;;;;;
Генерация тепла;Водогрейный котел;КПО-КВ-200;твердое топливо;;;;;
Генерация тепла;Водогрейный котел;КПО-КВ-300;твердое топливо;;;;;
Генерация тепла;Водогрейный котел;КПО-КВ-400;твердое топливо;;;;;
Генерация тепла;Водогрейный котел;КПО-КВ-500;твердое топливо;;;;;
Генерация тепла;Водогрейный котел;КПО-КВ-1000;твердое топливо;;;;;
Генерация тепла;Водогрейный котел;КПО-КВ-1500;твердое топливо;;;;;
Генерация тепла;Водогрейный котел;КПО-КВ-2000;твердое топливо;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-60;газ;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-80;газ;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-100;газ;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-150;газ;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-200;газ;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-300;газ;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-600;газ;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-900;газ;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-1500;газ;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-60;дизель;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-80;дизель;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-100;дизель;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-150;дизель;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-200;дизель;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-300;дизель;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-600;дизель;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-900;дизель;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-1500;дизель;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-60;твердое топливо;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-80;твердое топливо;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-100;твердое топливо;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-150;твердое топливо;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-200;твердое топливо;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-300;твердое топливо;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-600;твердое топливо;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-900;твердое топливо;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-1500;твердое топливо;;;;;
