тип;название;Модель;Топливо;Давление, атм;Паропроизводительность, кг/ч;КПД;мощность, кВт;Производство пара, кг/ч
Перегрев пара;Пароперегреватель автономный;ПП-А-30;электричество;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-50;электричество;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-100;электричество;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-200;электричество;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-300;электричество;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-500;электричество;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-1000;электричество;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-50;газ;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-100;газ;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-200;газ;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-300;газ;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-600;газ;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-1000;газ;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-1600;газ;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-2000;газ;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-2500;газ;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-50;дизель;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-100;дизель;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-200;дизель;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-300;дизель;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-600;дизель;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-1000;дизель;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-1600;дизель;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-2000;дизель;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-2500;дизель;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-50;твердое топливо;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-100;твердое топливо;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-200;твердое топливо;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-300;твердое топливо;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-600;твердое топливо;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-1000;твердое топливо;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-1600;твердое топливо;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-2000;твердое топливо;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-2500;твердое топливо;;;;;
